source,artifact_relpath,baseline_kind,experiment_id,routing,retrieval,retrieval_easy_medium,retrieval_hard_extra,top_k_tables,top_n_columns,masking,mask_style,phrase_hints,prompt,model,cascade_hard_model,easy,medium,hard,extra,overall,exec_runtime_success,spider_parse_failure_rate,n_processed,total_cost_usd,wall_time_s,note,dr_variant,dr_pre_accuracy,dr_post_accuracy,dr_drop,dr_count,retrieval_run_id,retrieval_config_mode,ret_all_recall,ret_all_precision,ret_all_srr,ret_all_column_recall,ret_all_avg_tables,baseline_exec_accuracy,decomposition_exec_accuracy,decomposition_delta,rag_current_acc,rag_broader_acc,rag_full_schema_acc,eval_log_parse_errors,detail_json
baseline_json,baseline/results/retrieval_eval_dev_80.json,json_other,retrieval_eval_dev_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.2833333333333333,""srr"":1.0,""column_recall"":0.95},""medium"":{""count"":20,""recall"":1.0,""precision"":0.4333333333333333,""srr"":1.0,""column_recall"":1.0},""hard"":{""count"":20,""recall"":1.0,""precision"":0.4583333333333333,""srr"":1.0,""column_recall"":1.0},""extra"":{""count"":20,""recall"":1.0,""precision"":0.5658333333333333,""srr"":1.0,""column_recall"":1.0},""all"":{""count"":80,""recall"":1.0,""precision"":0.4352083333333333,""srr"":1.0,""column_recall"":0.9875}},""results"":[{""index"":203,""db_id"":""flight_2"",""question"":""How many flights depart from 'APG'?"",""gold_sql"":""SELECT count(*) FROM FLIGHTS WHERE SourceAirport  =  \""APG\"""",""hardness"":""easy"",""gold_tables"":[2],""gold_table_names"":[""flights""],""retrieved_tables"":[0,1,2],""retrieved_table_names"":[""airlines"",""airports"",""flights""],""missing_table_names"":[],""extra_table_names"":[""airlines"",""airports""],""gold_columns"":[12],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.3333333333333333,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":3},{""index"":325,""db_id"":""cre_Doc_Template_Mgt"",""question"":""How many templates have template type code CV?"",""gold_sql"":""SELECT count(*) FROM Templates WHERE template_type_code  =  \""CV\"""",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""Templates""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""Ref_Template_Types"",""Templates"",""Documents"",""Paragraphs""],""missing_table_names"":[],""extra_table_names"":[""Ref_Template_Types"",""Documents"",""Paragraphs""],""gold_columns"":[5],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":677,""db_id"":""poker_player"",""question"":""What are the nationalities that are shared by at least two people?"",""gold_sql"":""SELECT Nationality FROM people GROUP BY Nationality HAVING COUNT(*)  >=  2"",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""people""],""retrieved_tables"":[0,1],""retrieved_table_names"":[""poker_player"",""people""],""missing_table_names"":[],""extra_table_names"":[""poker_player""],""gold_columns"":[8],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.5,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":2},{""index"":514,""db_id"":""student_transcripts_tracking"",""question"":""What is the zip code for Port Chelsea?"",""gold_sql"":""SELECT zip_postcode FROM Addresses WHERE city  =  'Port Chelsea'"",""hardness"":""easy"",""gold_tables"":[0],""gold_table_names"":[""Addresses""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""Addresses"",""Courses"",""Departments"",""Degree_Programs""],""missing_table_names"":[],""extra_table_names"":[""Courses"",""Departments"",""Degree_Programs""],""gold_columns"":[5,6],""retrieved_columns"":[1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":512,""db_id"":""student_transcripts_tracking"",""question"":""What are the descriptions for all the math courses?"",""gold_sql"":""SELECT course_description FROM Courses WHERE course_name  =  'math'"",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""Courses""],""retrieved_tables"":[1,2,4,8],""retrieved_table_names"":[""Courses"",""Departments"",""Sections"",""Student_Enrolment_Courses""],""missing_table_names"":[],""extra_table_names"":[""Departments"",""Sections"",""Student_Enrolment_Courses""],""gold_columns"":[11,12],""retrieved_columns"":[10,11,12,13,14,15,16,17,23,24,25,26,27,49,50,51],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":702,""db_id"":""world_1"",""question"":""What are the names of all the countries that became independent after 1950?"",""gold_sql"":""SELECT Name FROM country WHERE IndepYear  >  1950"",""hardness"":""easy"",""gold_tables"":[2],""gold_table_names"":[""country""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""city"",""sqlite_sequence"",""country"",""countrylanguage""],""missing_table_names"":[],""extra_table_names"":[""city"",""sqlite_sequence"",""countrylanguage""],""gold_columns"":[9,13],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":88,""db_id"":""car_1"",""question"":""What is the number of continents?"",""gold_sql"":""SELECT count(*) FROM CONTINENTS;"",""hardness"":""easy"",""gold_tables"":[0],""gold_table_names"":[""continents""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""continents"",""countries"",""car_makers"",""model_list""],""missing_table_names"":[],""extra_table_names"":[""countries"",""car_makers"",""model_list""],""gold_columns"":[],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":0.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":620,""db_id"":""tvshow"",""question"":""When did the episode \""A Love of a Lifetime\"" air?"",""gold_sql"":""SELECT Air_Date FROM TV_series WHERE Episode = \""A Love of a Lifetime\"";"",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""TV_series""],""retrieved_tables"":[0,1,2],""retrieved_table_names"":[""TV_Channel"",""TV_series"",""Cartoon""],""missing_table_names"":[],""extra_table_names"":[""TV_Channel"",""Cartoon""],""gold_columns"":[11,12],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.3333333333333333,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":3},{""index"":781,""db_id"":""world_1"",""question"":""Give the country codes for countries in which people speak langauges that are not English."",""gold_sql"":""SELECT DISTINCT CountryCode FROM countrylanguage WHERE LANGUAGE != \""English\"""",""hardness"":""easy"",""gold_tables"":[3],""gold_table_names"":[""countrylanguage""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""city"",""sqlite_sequence"",""country"",""countrylanguage""],""missing_table_names"":[],""extra_table_names"":[""city"",""sqlite_sequence"",""country""],""gold_columns"":[23,24],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":477,""db_id"":""wta_1"",""question"":""Find the codes of countries that have more than 50 players."",""gold_sql"":""SELECT country_code FROM players GROUP BY country_code HAVING count(*)  >  50"",""hardness"":""easy"",""gold_tables"":[0],""gold_table_names"":[""players""],""retrieved_tables"":[0,1,2],""retrieved_table_names"":[""players"",""matches"",""rankings""],""missing_table_names"":[],""extra_table_names"":[""matches"",""rankings""],""gold_columns"":[6],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.3333333333333333,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":3},{""index"":9,""db_id"":""concert_singer"",""question"":""What are  the different countries with singers above age 20?"",""gold_sql"":""SELECT DISTINCT country FROM singer WHERE age  >  20"",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""singer""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""stadium"",""singer"",""concert"",""singer_in_concert""],""missing_table_names"":[],""extra_table_names"":[""stadium"",""concert"",""singer_in_concert""],""gold_columns"":[10,13],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":250,""db_id"":""flight_2"",""question"":""Give the flight numbers of flights landing at APG."",""gold_sql"":""SELECT FlightNo FROM FLIGHTS WHERE DestAirport  =  \""APG\"""",""hardness"":""easy"",""gold_tables"":[2],""gold_table_names"":[""flights""],""retrieved_tables"":[0,1,2],""retrieved_table_names"":[""airlines"",""airports"",""flights""],""missing_table_names"":[],""extra_table_names"":[""airlines"",""airports""],""gold_columns"":[11,13],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.3333333333333333,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":3},{""index"":326,""db_id"":""cre_Doc_Template_Mgt"",""question"":""Count the number of templates of the type CV."",""gold_sql"":""SELECT count(*) FROM Templates WHERE template_type_code  =  \""CV\"""",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""Templates""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""Ref_Template_Types"",""Templates"",""Documents"",""Paragraphs""],""missing_table_names"":[],""extra_table_names"":[""Ref_Template_Types"",""Documents"",""Paragraphs""],""gold_columns"":[5],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":732,""db_id"":""world_1"",""question"":""How many unique languages are spoken in the world?"",""gold_sql"":""SELECT count(DISTINCT LANGUAGE) FROM countrylanguage"",""hardness"":""easy"",""gold_tables"":[3],""gold_table_names"":[""countrylanguage""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""city"",""sqlite_sequence"",""country"",""countrylanguage""],""missing_table_names"":[],""extra_table_names"":[""city"",""sqlite_sequence"",""country""],""gold_columns"":[24],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":828,""db_id"":""orchestra"",""question"":""What are the record companies of orchestras in descending order of years in which they were founded?"",""gold_sql"":""SELECT Record_Company FROM orchestra ORDER BY Year_of_Founded DESC"",""hardness"":""easy"",""gold_tables"":[1],""gold_table_names"":[""orchestra""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""conductor"",""orchestra"",""performance"",""show""],""missing_table_names"":[],""extra_table_names"":[""conductor"",""performance"",""show""],""gold_columns"":[9,10],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":377,""db_id"":""cre_Doc_Template_Mgt"",""question"":""What is the document id with 1 to 2 paragraphs?"",""gold_sql"":""SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*) BETWEEN 1 AND 2"",""hardness"":""easy"",""gold_tables"":[3],""gold_table_names"":[""Paragraphs""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""Ref_Template_Types"",""Templates"",""Documents"",""Paragraphs""],""missing_table_names"":[],""extra_table_names"":[""Ref_Template_Types"",""Templates"",""Documents""],""gold_columns"":[15],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":826,""db_id"":""orchestra"",""question"":""What are the names of conductors whose nationalities are not \""USA\""?"",""gold_sql"":""SELECT Name FROM conductor WHERE Nationality != 'USA'"",""hardness"":""easy"",""gold_tables"":[0],""gold_table_names"":[""conductor""],""retrieved_tables"":[0,1,2,3],""retrieved_table_names"":[""conductor"",""orchestra"",""performance"",""show""],""missing_table_names"":[],""extra_table_names"":[""orchestra"",""performance"",""show""],""gold_columns"":[2,4],""retrieved_columns"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],""missing_columns"":[],""table_recall"":1.0,""table_precision"":0.25,""column_recall"":1.0,""srr"":1.0,""retrieved_table_count"":4},{""index"":146,""db_id"":""car_1"",""question"":""In 1980, how many cars were made?"",""gold_sql"":""SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;"",""hardness"":""easy"",""gold_tables"":[5],""gold_table_names"":[""cars_data""],""retrieved_tables"":[0,1,2,3,4,5],""retr"
baseline_json,baseline/results/retrieval_eval_sweep_80.json,retrieval_sweep_run,retrieval_eval_sweep_80#run=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,lexical,0.66875,0.9125,0.45,0.635,1.0,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""1"",""summary"":{""easy"":{""count"":20,""recall"":0.8,""precision"":0.8,""srr"":0.8,""column_recall"":0.75,""avg_tables_returned"":1.0},""medium"":{""count"":20,""recall"":0.8,""precision"":0.95,""srr"":0.65,""column_recall"":0.775,""avg_tables_returned"":1.0},""hard"":{""count"":20,""recall"":0.625,""precision"":0.95,""srr"":0.35,""column_recall"":0.5825,""avg_tables_returned"":1.0},""extra"":{""count"":20,""recall"":0.45,""precision"":0.95,""srr"":0.0,""column_recall"":0.4325,""avg_tables_returned"":1.0},""all"":{""count"":80,""recall"":0.66875,""precision"":0.9125,""srr"":0.45,""column_recall"":0.635,""avg_tables_returned"":1.0}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80.json,retrieval_sweep_run,retrieval_eval_sweep_80#run=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,lexical,0.89375,0.6416666666666667,0.7875,0.8739583333333334,2.1125,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""2"",""summary"":{""easy"":{""count"":20,""recall"":0.95,""precision"":0.45,""srr"":0.95,""column_recall"":0.9,""avg_tables_returned"":2.2},""medium"":{""count"":20,""recall"":0.9,""precision"":0.575,""srr"":0.8,""column_recall"":0.85,""avg_tables_returned"":2.0},""hard"":{""count"":20,""recall"":0.875,""precision"":0.6583333333333333,""srr"":0.75,""column_recall"":0.8708333333333333,""avg_tables_returned"":2.2},""extra"":{""count"":20,""recall"":0.85,""precision"":0.8833333333333334,""srr"":0.65,""column_recall"":0.875,""avg_tables_returned"":2.05},""all"":{""count"":80,""recall"":0.89375,""precision"":0.6416666666666667,""srr"":0.7875,""column_recall"":0.8739583333333334,""avg_tables_returned"":2.1125}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80.json,retrieval_sweep_run,retrieval_eval_sweep_80#run=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,lexical,0.9770833333333334,0.49520833333333336,0.95,0.971875,3.0875,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""3"",""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.32916666666666666,""srr"":1.0,""column_recall"":0.95,""avg_tables_returned"":3.1},""medium"":{""count"":20,""recall"":1.0,""precision"":0.4666666666666666,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":3.0},""hard"":{""count"":20,""recall"":0.975,""precision"":0.5266666666666666,""srr"":0.95,""column_recall"":0.9875,""avg_tables_returned"":3.2},""extra"":{""count"":20,""recall"":0.9333333333333333,""precision"":0.6583333333333333,""srr"":0.85,""column_recall"":0.95,""avg_tables_returned"":3.05},""all"":{""count"":80,""recall"":0.9770833333333334,""precision"":0.49520833333333336,""srr"":0.95,""column_recall"":0.971875,""avg_tables_returned"":3.0875}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80.json,retrieval_sweep_run,retrieval_eval_sweep_80#run=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,lexical,1.0,0.4352083333333333,1.0,0.9875,3.7,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""4"",""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.2833333333333333,""srr"":1.0,""column_recall"":0.95,""avg_tables_returned"":3.7},""medium"":{""count"":20,""recall"":1.0,""precision"":0.4333333333333333,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":3.3},""hard"":{""count"":20,""recall"":1.0,""precision"":0.4583333333333333,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":3.9},""extra"":{""count"":20,""recall"":1.0,""precision"":0.5658333333333333,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":3.9},""all"":{""count"":80,""recall"":1.0,""precision"":0.4352083333333333,""srr"":1.0,""column_recall"":0.9875,""avg_tables_returned"":3.7}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive#run=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,lexical,0.66875,0.9125,0.45,0.635,1.0,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""1"",""summary"":{""easy"":{""count"":20,""recall"":0.8,""precision"":0.8,""srr"":0.8,""column_recall"":0.75,""avg_tables_returned"":1.0},""medium"":{""count"":20,""recall"":0.8,""precision"":0.95,""srr"":0.65,""column_recall"":0.775,""avg_tables_returned"":1.0},""hard"":{""count"":20,""recall"":0.625,""precision"":0.95,""srr"":0.35,""column_recall"":0.5825,""avg_tables_returned"":1.0},""extra"":{""count"":20,""recall"":0.45,""precision"":0.95,""srr"":0.0,""column_recall"":0.4325,""avg_tables_returned"":1.0},""all"":{""count"":80,""recall"":0.66875,""precision"":0.9125,""srr"":0.45,""column_recall"":0.635,""avg_tables_returned"":1.0}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive#run=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,lexical,0.8583333333333334,0.8020833333333334,0.725,0.83125,1.7,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""2"",""summary"":{""easy"":{""count"":20,""recall"":0.95,""precision"":0.6583333333333333,""srr"":0.95,""column_recall"":0.9,""avg_tables_returned"":1.75},""medium"":{""count"":20,""recall"":0.9,""precision"":0.775,""srr"":0.8,""column_recall"":0.85,""avg_tables_returned"":1.6},""hard"":{""count"":20,""recall"":0.825,""precision"":0.825,""srr"":0.65,""column_recall"":0.8208333333333334,""avg_tables_returned"":1.75},""extra"":{""count"":20,""recall"":0.7583333333333333,""precision"":0.95,""srr"":0.5,""column_recall"":0.7541666666666667,""avg_tables_returned"":1.7},""all"":{""count"":80,""recall"":0.8583333333333334,""precision"":0.8020833333333334,""srr"":0.725,""column_recall"":0.83125,""avg_tables_returned"":1.7}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive#run=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,lexical,0.925,0.6399999999999999,0.85,0.9166666666666666,2.4125,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""3"",""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.4916666666666667,""srr"":1.0,""column_recall"":0.95,""avg_tables_returned"":2.4},""medium"":{""count"":20,""recall"":1.0,""precision"":0.5916666666666666,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":2.5},""hard"":{""count"":20,""recall"":0.9,""precision"":0.6433333333333333,""srr"":0.8,""column_recall"":0.9125,""avg_tables_returned"":2.6},""extra"":{""count"":20,""recall"":0.8,""precision"":0.8333333333333334,""srr"":0.6,""column_recall"":0.8041666666666666,""avg_tables_returned"":2.15},""all"":{""count"":80,""recall"":0.925,""precision"":0.6399999999999999,""srr"":0.85,""column_recall"":0.9166666666666666,""avg_tables_returned"":2.4125}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive#run=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,lexical,0.95,0.4977083333333333,0.9,0.9302083333333334,3.275,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""4"",""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.32083333333333336,""srr"":1.0,""column_recall"":0.95,""avg_tables_returned"":3.4},""medium"":{""count"":20,""recall"":1.0,""precision"":0.4333333333333333,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":3.3},""hard"":{""count"":20,""recall"":0.95,""precision"":0.4833333333333333,""srr"":0.9,""column_recall"":0.9541666666666666,""avg_tables_returned"":3.65},""extra"":{""count"":20,""recall"":0.85,""precision"":0.7533333333333333,""srr"":0.7,""column_recall"":0.8166666666666667,""avg_tables_returned"":2.75},""all"":{""count"":80,""recall"":0.95,""precision"":0.4977083333333333,""srr"":0.9,""column_recall"":0.9302083333333334,""avg_tables_returned"":3.275}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive_v2.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive_v2#run=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,lexical,0.66875,0.9125,0.45,0.635,1.0,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""1"",""summary"":{""easy"":{""count"":20,""recall"":0.8,""precision"":0.8,""srr"":0.8,""column_recall"":0.75,""avg_tables_returned"":1.0},""medium"":{""count"":20,""recall"":0.8,""precision"":0.95,""srr"":0.65,""column_recall"":0.775,""avg_tables_returned"":1.0},""hard"":{""count"":20,""recall"":0.625,""precision"":0.95,""srr"":0.35,""column_recall"":0.5825,""avg_tables_returned"":1.0},""extra"":{""count"":20,""recall"":0.45,""precision"":0.95,""srr"":0.0,""column_recall"":0.4325,""avg_tables_returned"":1.0},""all"":{""count"":80,""recall"":0.66875,""precision"":0.9125,""srr"":0.45,""column_recall"":0.635,""avg_tables_returned"":1.0}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive_v2.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive_v2#run=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,lexical,0.89375,0.6416666666666667,0.7875,0.8739583333333334,2.1125,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""2"",""summary"":{""easy"":{""count"":20,""recall"":0.95,""precision"":0.45,""srr"":0.95,""column_recall"":0.9,""avg_tables_returned"":2.2},""medium"":{""count"":20,""recall"":0.9,""precision"":0.575,""srr"":0.8,""column_recall"":0.85,""avg_tables_returned"":2.0},""hard"":{""count"":20,""recall"":0.875,""precision"":0.6583333333333333,""srr"":0.75,""column_recall"":0.8708333333333333,""avg_tables_returned"":2.2},""extra"":{""count"":20,""recall"":0.85,""precision"":0.8833333333333334,""srr"":0.65,""column_recall"":0.875,""avg_tables_returned"":2.05},""all"":{""count"":80,""recall"":0.89375,""precision"":0.6416666666666667,""srr"":0.7875,""column_recall"":0.8739583333333334,""avg_tables_returned"":2.1125}}}"
baseline_json,baseline/results/retrieval_eval_sweep_80_adaptive_v2.json,retrieval_sweep_run,retrieval_eval_sweep_80_adaptive_v2#run=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,lexical,0.9645833333333333,0.5129166666666667,0.925,0.9635416666666666,2.9125,,,,,,,,"{""config"":{""mode"":""lexical"",""top_k_tables"":4,""sweep_top_k"":[1,2,3,4],""top_n_columns"":8,""per_hardness"":20,""max_examples"":null,""seed"":42},""run_id"":""3"",""summary"":{""easy"":{""count"":20,""recall"":1.0,""precision"":0.36666666666666664,""srr"":1.0,""column_recall"":0.95,""avg_tables_returned"":2.85},""medium"":{""count"":20,""recall"":1.0,""precision"":0.5,""srr"":1.0,""column_recall"":1.0,""avg_tables_returned"":2.75},""hard"":{""count"":20,""recall"":0.95,""precision"":0.5266666666666666,""srr"":0.9,""column_recall"":0.9541666666666666,""avg_tables_returned"":3.1},""extra"":{""count"":20,""recall"":0.9083333333333334,""precision"":0.6583333333333333,""srr"":0.8,""column_recall"":0.95,""avg_tables_returned"":2.95},""all"":{""count"":80,""recall"":0.9645833333333333,""precision"":0.5129166666666667,""srr"":0.925,""column_recall"":0.9635416666666666,""avg_tables_returned"":2.9125}}}"
